date,premise_code,item_code,price
2/05/2024,2,18,6
2/05/2024,3,18,6.7
2/05/2024,183,18,7.9
2/05/2024,234,18,4
2/05/2024,239,18,6.5
2/05/2024,322,18,5.8
2/05/2024,330,18,6.99
2/05/2024,351,18,5.99
2/05/2024,354,18,6
2/05/2024,364,18,4
2/05/2024,368,18,6.5
2/05/2024,382,18,4.99
2/05/2024,394,18,6.99
2/05/2024,424,18,5
2/05/2024,429,18,8.9
2/05/2024,433,18,5
2/05/2024,434,18,6
2/05/2024,435,18,8.9
2/05/2024,438,18,5.9
2/05/2024,439,18,5.49
2/05/2024,494,18,8.5
2/05/2024,506,18,6.99
2/05/2024,524,18,7
2/05/2024,569,18,5.9
2/05/2024,587,18,4.49
2/05/2024,588,18,5.99
2/05/2024,600,18,6.5
2/05/2024,633,18,7
2/05/2024,656,18,5.9
2/05/2024,725,18,6.99
2/05/2024,729,18,7.9
2/05/2024,766,18,7
2/05/2024,777,18,7
2/05/2024,864,18,7.5
2/05/2024,907,18,5.99
2/05/2024,930,18,5.99
2/05/2024,1053,18,5.5
2/05/2024,1054,18,4.99
2/05/2024,1133,18,6
2/05/2024,1135,18,5.99
2/05/2024,1137,18,5.99
2/05/2024,1152,18,6.99
2/05/2024,1164,18,6
2/05/2024,1209,18,6
2/05/2024,1212,18,6
2/05/2024,1259,18,5.99
2/05/2024,1267,18,6
2/05/2024,1284,18,7
2/05/2024,1517,18,6.5
2/05/2024,1527,18,6.9
2/05/2024,1652,18,6
2/05/2024,1713,18,6
2/05/2024,1714,18,6
2/05/2024,1789,18,6.5
2/05/2024,1815,18,5
2/05/2024,1826,18,6
2/05/2024,1959,18,6
2/05/2024,1960,18,7
2/05/2024,1961,18,7
2/05/2024,1962,18,6.9
2/05/2024,1972,18,6.5
2/05/2024,1980,18,7.5
2/05/2024,2007,18,7
2/05/2024,2020,18,4.5
2/05/2024,2048,18,5
2/05/2024,2062,18,8
2/05/2024,2161,18,7
2/05/2024,2190,18,7
2/05/2024,2213,18,6
2/05/2024,2222,18,7
2/05/2024,2248,18,5
2/05/2024,2280,18,8.5
2/05/2024,2510,18,7
2/05/2024,2517,18,5
2/05/2024,2530,18,7
2/05/2024,2560,18,5.99
2/05/2024,2612,18,5.9
2/05/2024,2651,18,6.9
2/05/2024,2657,18,5.59
2/05/2024,2670,18,5.99
2/05/2024,2685,18,6
2/05/2024,2772,18,5.9
2/05/2024,2775,18,6
2/05/2024,2925,18,5.1
2/05/2024,2955,18,6
2/05/2024,2983,18,4
2/05/2024,2984,18,6.99
2/05/2024,2993,18,5
2/05/2024,3003,18,8.9
2/05/2024,3024,18,7
2/05/2024,3041,18,5.99
2/05/2024,3078,18,6.2
2/05/2024,3130,18,8.5
2/05/2024,3150,18,8.9
2/05/2024,3178,18,8.9
2/05/2024,3181,18,6
2/05/2024,3195,18,7
2/05/2024,3204,18,7.5
2/05/2024,3251,18,8
2/05/2024,3256,18,5.9
