date,premise_code,item_code,price
1/04/2024,2,18,6
1/04/2024,3,18,10.5
1/04/2024,6,18,7.5
1/04/2024,136,18,7.99
1/04/2024,176,18,6.69
1/04/2024,183,18,7.9
1/04/2024,234,18,4
1/04/2024,239,18,6.5
1/04/2024,351,18,6.99
1/04/2024,354,18,6
1/04/2024,364,18,4
1/04/2024,368,18,6.5
1/04/2024,371,18,3
1/04/2024,380,18,7.9
1/04/2024,382,18,5.9
1/04/2024,429,18,8.9
1/04/2024,431,18,5
1/04/2024,433,18,6
1/04/2024,434,18,6
1/04/2024,435,18,8.5
1/04/2024,439,18,4.99
1/04/2024,494,18,8.5
1/04/2024,506,18,6.99
1/04/2024,524,18,7
1/04/2024,588,18,6.99
1/04/2024,600,18,6.5
1/04/2024,633,18,7
1/04/2024,656,18,5.9
1/04/2024,720,18,6.5
1/04/2024,725,18,7.5
1/04/2024,729,18,7.9
1/04/2024,766,18,7
1/04/2024,777,18,7
1/04/2024,864,18,7.3
1/04/2024,907,18,6.99
1/04/2024,930,18,6.99
1/04/2024,1054,18,6.49
1/04/2024,1133,18,6
1/04/2024,1135,18,5.99
1/04/2024,1137,18,6.99
1/04/2024,1152,18,7.5
1/04/2024,1164,18,6
1/04/2024,1170,18,7
1/04/2024,1212,18,6
1/04/2024,1259,18,6.99
1/04/2024,1267,18,6
1/04/2024,1284,18,7
1/04/2024,1407,18,6.5
1/04/2024,1455,18,6
1/04/2024,1517,18,6.5
1/04/2024,1527,18,6.9
1/04/2024,1610,18,6
1/04/2024,1634,18,6
1/04/2024,1652,18,7
1/04/2024,1713,18,6
1/04/2024,1714,18,6
1/04/2024,1783,18,5.5
1/04/2024,1789,18,6.5
1/04/2024,1815,18,5
1/04/2024,1826,18,6
1/04/2024,1959,18,6.5
1/04/2024,1960,18,7
1/04/2024,1961,18,7
1/04/2024,1962,18,6.9
1/04/2024,1972,18,6.5
1/04/2024,1980,18,7.5
1/04/2024,2007,18,7
1/04/2024,2020,18,4.5
1/04/2024,2062,18,8
1/04/2024,2158,18,7.5
1/04/2024,2161,18,7
1/04/2024,2213,18,6
1/04/2024,2510,18,7
1/04/2024,2517,18,5
1/04/2024,2560,18,6.99
1/04/2024,2612,18,6.9
1/04/2024,2623,18,6
1/04/2024,2651,18,6.9
1/04/2024,2657,18,5.59
1/04/2024,2661,18,6
1/04/2024,2670,18,5.99
1/04/2024,2772,18,6.9
1/04/2024,2775,18,5
1/04/2024,2983,18,4
1/04/2024,2984,18,6.99
1/04/2024,2993,18,5
1/04/2024,3003,18,8.4
1/04/2024,3041,18,6.99
1/04/2024,3130,18,8.9
1/04/2024,3150,18,8.5
1/04/2024,3178,18,8.5
1/04/2024,3214,18,3
1/04/2024,3251,18,8
1/04/2024,3256,18,5.9
1/04/2024,3265,18,6.5
1/04/2024,3302,18,7
1/04/2024,3318,18,7.9
1/04/2024,3336,18,7.9
1/04/2024,3346,18,6.5
1/04/2024,3366,18,6.9
1/04/2024,3528,18,6.9
1/04/2024,3541,18,7
1/04/2024,3587,18,8
1/04/2024,3662,18,5
1/04/2024,3702,18,6
1/04/2024,3725,18,3.5
1/04/2024,3727,18,6.9
1/04/2024,3739,18,6
1/04/2024,3770,18,7
1/04/2024,3861,18,6.5
1/04/2024,3870,18,6
1/04/2024,3901,18,6.99
1/04/2024,3904,18,7.9
1/04/2024,4097,18,7
1/04/2024,4110,18,7
1/04/2024,4118,18,7
1/04/2024,4129,18,7
1/04/2024,4197,18,7
1/04/2024,4203,18,6
1/04/2024,4205,18,7.99
1/04/2024,4231,18,6.5
1/04/2024,4304,18,7.9
1/04/2024,4313,18,5
1/04/2024,4315,18,5.99
1/04/2024,4473,18,6
1/04/2024,4505,18,7
1/04/2024,4530,18,7.39
1/04/2024,4633,18,7
1/04/2024,4648,18,7.5
1/04/2024,4660,18,4
1/04/2024,4664,18,6
1/04/2024,4667,18,6
1/04/2024,4767,18,6
1/04/2024,4970,18,6
1/04/2024,5058,18,7
1/04/2024,5086,18,7
1/04/2024,5093,18,7.9
1/04/2024,5137,18,6.99
1/04/2024,5161,18,6.5
1/04/2024,5190,18,7
1/04/2024,5204,18,6.9
1/04/2024,5257,18,6.5
1/04/2024,5274,18,7.49
1/04/2024,5278,18,7.49
